oa11cd,all,w,p_w,w_b,p_w_b,w_i,p_w_i,w_g,p_w_g,w_o,p_w_o,m,p_m,m_wbc,p_m_wbc,m_wba,p_m_wba,m_w_a,p_m_w_a,m_o,p_m_o,a,p_a,a_i,p_a_i,a_p,p_a_p,a_b,p_a_b,a_c,p_a_c,a_o,p_a_o,b,p_b,b_a,p_b_a,b_c,p_b_c,b_o,p_b_o,o,p_o,o_a,p_o_a,o_o,p_o_o
E00069529,266,225,84.6,192,72.2,12,4.5,0,0,21,7.9,14,5.3,7,2.6,1,0.4,3,1.1,3,1.1,25,9.4,17,6.4,2,0.8,0,0,1,0.4,5,1.9,2,0.8,2,0.8,0,0,0,0,0,0,0,0,0,0
E00069530,306,259,84.6,229,74.8,7,2.3,0,0,23,7.5,12,3.9,4,1.3,1,0.3,6,2,1,0.3,35,11.4,19,6.2,0,0,0,0,7,2.3,9,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00069531,336,274,81.5,243,72.3,3,0.9,0,0,28,8.3,7,2.1,3,0.9,1,0.3,3,0.9,0,0,51,15.2,43,12.8,0,0,0,0,4,1.2,4,1.2,3,0.9,0,0,3,0.9,0,0,1,0.3,0,0,1,0.3
E00069532,216,167,77.3,139,64.4,6,2.8,0,0,22,10.2,11,5.1,3,1.4,2,0.9,2,0.9,4,1.9,24,11.1,18,8.3,3,1.4,0,0,1,0.5,2,0.9,7,3.2,1,0.5,5,2.3,1,0.5,7,3.2,0,0,7,3.2
E00069533,280,248,88.6,212,75.7,2,0.7,0,0,34,12.1,18,6.4,6,2.1,2,0.7,8,2.9,2,0.7,7,2.5,6,2.1,0,0,0,0,0,0,1,0.4,7,2.5,3,1.1,3,1.1,1,0.4,0,0,0,0,0,0
E00069534,235,175,74.5,148,63,2,0.9,0,0,25,10.6,12,5.1,8,3.4,1,0.4,2,0.9,1,0.4,33,14,17,7.2,0,0,4,1.7,12,5.1,0,0,14,6,3,1.3,3,1.3,8,3.4,1,0.4,0,0,1,0.4
E00069535,321,268,83.5,202,62.9,3,0.9,0,0,63,19.6,13,4,9,2.8,1,0.3,0,0,3,0.9,27,8.4,18,5.6,4,1.2,0,0,0,0,5,1.6,8,2.5,3,0.9,5,1.6,0,0,5,1.6,4,1.2,1,0.3
E00069536,374,324,86.6,273,73,4,1.1,1,0.3,46,12.3,21,5.6,15,4,3,0.8,3,0.8,0,0,12,3.2,10,2.7,2,0.5,0,0,0,0,0,0,15,4,5,1.3,10,2.7,0,0,2,0.5,0,0,2,0.5
E00069537,301,258,85.7,244,81.1,6,2,0,0,8,2.7,8,2.7,2,0.7,0,0,5,1.7,1,0.3,31,10.3,31,10.3,0,0,0,0,0,0,0,0,3,1,0,0,0,0,3,1,1,0.3,1,0.3,0,0
E00069538,307,183,59.6,167,54.4,4,1.3,0,0,12,3.9,9,2.9,4,1.3,1,0.3,4,1.3,0,0,87,28.3,70,22.8,15,4.9,0,0,0,0,2,0.7,6,2,2,0.7,4,1.3,0,0,22,7.2,0,0,22,7.2
E00069539,256,222,86.7,203,79.3,5,2,0,0,14,5.5,8,3.1,2,0.8,0,0,3,1.2,3,1.2,14,5.5,13,5.1,0,0,0,0,1,0.4,0,0,12,4.7,10,3.9,2,0.8,0,0,0,0,0,0,0,0
E00069540,401,341,85,323,80.5,3,0.7,0,0,15,3.7,12,3,5,1.2,0,0,5,1.2,2,0.5,30,7.5,14,3.5,4,1,0,0,0,0,12,3,5,1.2,1,0.2,4,1,0,0,13,3.2,1,0.2,12,3
E00069541,319,271,85,233,73,3,0.9,0,0,35,11,10,3.1,1,0.3,0,0,8,2.5,1,0.3,24,7.5,13,4.1,4,1.3,0,0,7,2.2,0,0,13,4.1,4,1.3,2,0.6,7,2.2,1,0.3,0,0,1,0.3
E00069542,277,230,83,187,67.5,5,1.8,0,0,38,13.7,10,3.6,4,1.4,0,0,5,1.8,1,0.4,25,9,23,8.3,0,0,0,0,0,0,2,0.7,10,3.6,6,2.2,4,1.4,0,0,2,0.7,0,0,2,0.7
E00069543,294,202,68.7,176,59.9,1,0.3,0,0,25,8.5,12,4.1,3,1,0,0,4,1.4,5,1.7,56,19,50,17,0,0,0,0,0,0,6,2,21,7.1,14,4.8,3,1,4,1.4,3,1,0,0,3,1
E00069544,347,284,81.8,272,78.4,0,0,0,0,12,3.5,10,2.9,5,1.4,4,1.2,0,0,1,0.3,46,13.3,33,9.5,4,1.2,0,0,0,0,9,2.6,7,2,2,0.6,3,0.9,2,0.6,0,0,0,0,0,0
E00069545,281,209,74.4,197,70.1,8,2.8,0,0,4,1.4,7,2.5,3,1.1,0,0,4,1.4,0,0,53,18.9,46,16.4,0,0,0,0,4,1.4,3,1.1,4,1.4,0,0,4,1.4,0,0,8,2.8,5,1.8,3,1.1
E00069546,332,241,72.6,219,66,5,1.5,0,0,17,5.1,12,3.6,9,2.7,0,0,1,0.3,2,0.6,60,18.1,53,16,0,0,0,0,0,0,7,2.1,19,5.7,8,2.4,9,2.7,2,0.6,0,0,0,0,0,0
E00165824,248,215,86.7,201,81,6,2.4,0,0,8,3.2,7,2.8,7,2.8,0,0,0,0,0,0,20,8.1,11,4.4,4,1.6,0,0,0,0,5,2,6,2.4,2,0.8,4,1.6,0,0,0,0,0,0,0,0
E00165826,269,180,66.9,169,62.8,5,1.9,0,0,6,2.2,19,7.1,4,1.5,0,0,13,4.8,2,0.7,62,23,45,16.7,7,2.6,5,1.9,2,0.7,3,1.1,5,1.9,3,1.1,2,0.7,0,0,3,1.1,0,0,3,1.1
E00165827,345,219,63.5,210,60.9,4,1.2,0,0,5,1.4,8,2.3,0,0,0,0,4,1.2,4,1.2,108,31.3,81,23.5,6,1.7,0,0,2,0.6,19,5.5,0,0,0,0,0,0,0,0,10,2.9,0,0,10,2.9
E00165830,295,275,93.2,267,90.5,2,0.7,0,0,6,2,1,0.3,0,0,0,0,1,0.3,0,0,3,1,0,0,0,0,0,0,1,0.3,2,0.7,11,3.7,6,2,3,1,2,0.7,5,1.7,4,1.4,1,0.3
E00168083,230,147,63.9,123,53.5,4,1.7,0,0,20,8.7,7,3,1,0.4,1,0.4,1,0.4,4,1.7,52,22.6,30,13,7,3,3,1.3,7,3,5,2.2,8,3.5,8,3.5,0,0,0,0,16,7,9,3.9,7,3
E00168085,292,152,52.1,122,41.8,1,0.3,0,0,29,9.9,8,2.7,2,0.7,0,0,5,1.7,1,0.3,63,21.6,39,13.4,4,1.4,0,0,6,2.1,14,4.8,8,2.7,6,2.1,0,0,2,0.7,61,20.9,52,17.8,9,3.1
E00168087,258,121,46.9,101,39.1,1,0.4,0,0,19,7.4,8,3.1,1,0.4,1,0.4,3,1.2,3,1.2,60,23.3,24,9.3,8,3.1,1,0.4,22,8.5,5,1.9,3,1.2,1,0.4,2,0.8,0,0,66,25.6,58,22.5,8,3.1
E00168088,351,212,60.4,149,42.5,1,0.3,1,0.3,61,17.4,14,4,3,0.9,2,0.6,6,1.7,3,0.9,65,18.5,42,12,4,1.1,0,0,6,1.7,13,3.7,25,7.1,21,6,3,0.9,1,0.3,35,10,32,9.1,3,0.9
E00168090,258,120,46.5,111,43,0,0,0,0,9,3.5,22,8.5,9,3.5,3,1.2,5,1.9,5,1.9,72,27.9,26,10.1,11,4.3,1,0.4,3,1.2,31,12,33,12.8,10,3.9,11,4.3,12,4.7,11,4.3,11,4.3,0,0
E00168091,372,259,69.6,218,58.6,2,0.5,0,0,39,10.5,17,4.6,10,2.7,2,0.5,3,0.8,2,0.5,45,12.1,10,2.7,4,1.1,2,0.5,10,2.7,19,5.1,33,8.9,15,4,15,4,3,0.8,18,4.8,15,4,3,0.8
E00168093,301,173,57.5,140,46.5,4,1.3,0,0,29,9.6,9,3,3,1,1,0.3,4,1.3,1,0.3,99,32.9,14,4.7,3,1,0,0,72,23.9,10,3.3,8,2.7,6,2,1,0.3,1,0.3,12,4,10,3.3,2,0.7
